AccountId,Region,ProfileName,SecurityGroupId,SecurityGroupName,VpcId,Protocol,FromPort,ToPort,SourceType,Source,ENI,ENICount,ENIStatus,ENIAttached,ENIAttachmentType,ENIAttachedResource,MatchesFound,IsUnused,QueryTimestamp,FlowLogConfig
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,-1,,,IPv4_CIDR,192.168.0.189/32,eni-0623381cb6ed5ee43,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:36,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,-1,,,IPv4_CIDR,192.168.0.189/32,eni-02aacb384c7720b23,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:36,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,-1,,,IPv4_CIDR,192.168.0.189/32,eni-040db423dfc5c4924,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:36,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,-1,,,IPv4_CIDR,192.168.0.189/32,eni-020c3ea1c4d88ba04,4,in-use,TRUE,Attached,EC2:i-0c366158de416c034,0,TRUE,08/12/2025 11:36,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.192.20/32,eni-0623381cb6ed5ee43,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.208.20/32,eni-0623381cb6ed5ee43,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.192.20/32,eni-02aacb384c7720b23,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.208.20/32,eni-02aacb384c7720b23,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.192.20/32,eni-040db423dfc5c4924,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.208.20/32,eni-040db423dfc5c4924,4,available,FALSE,Unattached,None,0,TRUE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.192.20/32,eni-020c3ea1c4d88ba04,4,in-use,TRUE,Attached,EC2:i-0c366158de416c034,112,FALSE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
2.07568E+11,,sso-ipf-aws-adfr-prod-nonprivFujitsuCSA,sg-04fcbf544d44fe126,bastion-vpc-euw1-prod-adfr-01,vpc-027b4f84e93151777,tcp,3398,3398,IPv4_CIDR,10.200.208.20/32,eni-020c3ea1c4d88ba04,4,in-use,TRUE,Attached,EC2:i-0c366158de416c034,0,TRUE,08/12/2025 11:37,VPC-CWL:StackSet-AWSControlTowerBP-VPC-ACCOUNT-FACTORY-V1-d0d3cf0d-fa1a-4141-b09d-a0c68db385b5-VPCFlowLogsLogGroup-fabb2OlInRka
